??,??,????(?),????(?),????(?)
"	1988-01-01",108,-2.4,-4.4,-0.8
"	1988-01-02",108,-1.6,-4.3,1.6
"	1988-01-03",108,-2.7,-6.2,1.3
"	1988-01-04",108,-0.4,-3.2,3.2
"	1988-01-05",108,-2.9,-6.7,1.9
"	1988-01-06",108,-2.7,-6.9,2.6
"	1988-01-07",108,-0.5,-2.4,1
"	1988-01-08",108,1.6,-2.9,4.8
"	1988-01-09",108,-7.3,-9.8,-2.9
"	1988-01-10",108,-7.9,-11.4,-3.2
"	1988-01-11",108,-4.8,-9.4,0.6
"	1988-01-12",108,-0.9,-5.3,4.1
"	1988-01-13",108,3.4,0.8,6.3
"	1988-01-14",108,6.4,4.2,10.1
"	1988-01-15",108,2.8,-0.3,5.7
"	1988-01-16",108,-2.6,-6,0
"	1988-01-17",108,-3.2,-7.8,1.7
"	1988-01-18",108,-2.2,-5.2,1.7
"	1988-01-19",108,-1.3,-5,2.8
"	1988-01-20",108,0.7,-3.7,5.1
"	1988-01-21",108,2.8,1.6,4.5
"	1988-01-22",108,2.1,-4.6,5.1
"	1988-01-23",108,-8.9,-10.5,-4.6
"	1988-01-24",108,-8.7,-12.1,-4.2
"	1988-01-25",108,-5.6,-10.2,-1.8
"	1988-01-26",108,-4.3,-7.7,-0.5
"	1988-01-27",108,-2.7,-7.8,5.1
"	1988-01-28",108,-1.5,-7.6,3.8
"	1988-01-29",108,-2.1,-6.9,4.3
"	1988-01-30",108,-5,-8.7,-0.7
"	",,,,
